Trait	Marker	Chr	Pos	marker_F	p	marker_Rsq	add_F	add_p	dom_F	dom_p	marker_df	marker_MS	error_df	error_MS	model_df	model_MS	minorObs
CotColor	ss715578633	phavu.Chr02	185211	0.63926	0.52788	8.9378E-4	1.01829	0.31314	0.2609	0.6096	2	1005.67932	1114	1573.1913	8	62232.52746	200
CotColor	ss715578635	phavu.Chr02	186170	2.1337	0.11888	0.00297	4.21295	0.04035	0.058	0.80973	2	3353.91108	1119	1571.8738	8	62665.87055	259
CotColor	ss715578726	phavu.Chr02	225505	1.54066	0.2147	0.00215	3.08219	0.07943	0.00188	0.96542	2	2426.28733	1115	1574.83997	8	61989.88581	267
CotColor	ss715578743	phavu.Chr02	234135	2.17047	0.11461	0.00303	4.34257	0.0374	0.00226	0.96208	2	3416.82946	1116	1574.23204	8	62190.83738	262
CotColor	ss715578754	phavu.Chr02	237230	2.36912	0.09403	0.0033	3.91925	0.04798	0.81963	0.36548	2	3725.64883	1118	1572.58744	8	62510.25002	272
CotColor	ss715578773	phavu.Chr02	242879	0.67769	0.508	9.5131E-4	0.0697	0.79182	1.28565	0.2571	2	1065.74833	1110	1572.62533	8	61871.81182	332
CotColor	ss715578777	phavu.Chr02	244125	3.95133	0.0195	0.00549	5.27775	0.02178	2.61728	0.10599	2	6196.44474	1118	1568.19216	8	63142.13074	102
CotColor	ss715578780	phavu.Chr02	245030	1.18091	0.30739	0.00166	2.35012	0.12556	0.01378	0.90657	2	1862.40134	1111	1577.09563	8	61485.28165	247
CotColor	ss715578887	phavu.Chr02	281645	20.18024	7.78E-6	0.01384	20.18024	7.78E-6	NaN	NaN	1	31190.89372	1117	1545.61582	7	75270.10976	251
CotColor	ss715578894	phavu.Chr02	283533	7.07794	8.818E-4	0.00976	14.12078	1.8028E-4	0.04711	0.82822	2	11028.5393	1119	1558.15686	8	64584.52761	169
CotColor	ss715579048	phavu.Chr02	334437	5.11469	0.00615	0.00707	10.23552	0.00142	0.00298	0.95646	2	7984.80345	1118	1561.15067	8	64077.72047	130
CotColor	ss715579052	phavu.Chr02	335952	NaN	NaN	0	NaN	NaN	NaN	NaN	0	NaN	1121	1575.05317	6	82436.52371	0
CotColor	ss715579185	phavu.Chr02	368054	0.60509	0.5462	8.4646E-4	1.21124	0.27132	2.653E-5	0.99589	2	952.23221	1114	1573.7032	8	62101.71987	2
CotColor	ss715579226	phavu.Chr02	377146	3.95774	0.01937	0.00549	7.85935	0.00514	0.06271	0.80231	2	6200.93422	1119	1566.78529	8	63377.62634	117
CotColor	ss715579235	phavu.Chr02	378633	2.9413	0.05321	0.00412	5.00879	0.02542	0.87437	0.34995	2	4606.83089	1107	1566.25767	8	62875.11804	314
CotColor	ss715579252	phavu.Chr02	382080	3.14732	0.04335	0.00438	5.70014	0.01713	0.59655	0.44006	2	4942.03856	1118	1570.23773	8	62799.15513	326
CotColor	ss715579281	phavu.Chr02	388640	3.26215	0.03867	0.00453	5.13488	0.02364	1.38763	0.23906	2	5113.87956	1118	1567.6428	8	63177.49257	34
CotColor	ss715579337	phavu.Chr02	401923	5.13242	0.00604	0.00713	10.27084	0.00139	0.00315	0.95525	2	8037.63947	1117	1566.05368	8	63348.62	346
CotColor	ss715579366	phavu.Chr02	409034	3.21529	0.04052	0.00448	6.09565	0.0137	0.33854	0.56079	2	5047.01741	1115	1569.69336	8	62684.42945	318
CotColor	ss715579418	phavu.Chr02	423213	4.64863	0.00976	0.00643	9.28647	0.00236	0.01893	0.89059	2	7264.09149	1118	1562.62976	8	63918.45288	123
CotColor	ss715579444	phavu.Chr02	429656	3.60254	0.02757	0.00502	6.69806	0.00978	0.50996	0.4753	2	5653.95046	1115	1569.43383	8	62824.11915	311
CotColor	ss715579457	phavu.Chr02	432637	4.48411	0.01149	0.00627	8.16611	0.00435	0.80355	0.37023	2	7027.17899	1111	1567.12878	8	62770.53181	316
CotColor	ss715579484	phavu.Chr02	439444	2.37819	0.09319	0.00331	4.4213	0.03572	0.33769	0.56128	2	3731.03349	1117	1568.85703	8	62897.81076	320
CotColor	ss715579534	phavu.Chr02	452504	2.74196	0.06488	0.00384	5.48865	0.01932	1.9145E-4	0.98896	2	4312.00408	1112	1572.60102	8	62163.47214	300
CotColor	ss715579556	phavu.Chr02	458739	2.65349	0.07085	0.0037	5.07451	0.02447	0.23594	0.62725	2	4162.83811	1114	1568.81612	8	62925.44535	107
CotColor	ss715579584	phavu.Chr02	465259	2.3759	0.0934	0.00332	0.58998	0.44259	4.16015	0.04162	2	3733.61377	1115	1571.45225	8	62457.41334	381
CotColor	ss715579660	phavu.Chr02	470982	7.16584	8.0875E-4	0.00996	14.33356	1.6129E-4	0.01087	0.91697	2	11180.33197	1111	1560.22547	8	63815.65498	384
CotColor	ss715579674	phavu.Chr02	471895	4.60303	0.01021	0.00639	7.74854	0.00547	1.45437	0.22808	2	7209.1778	1118	1566.18202	8	63365.93994	272
CotColor	ss715579733	phavu.Chr02	477326	4.2089	0.0151	0.00584	8.40485	0.00382	0.02032	0.88668	2	6595.30969	1118	1566.98965	8	63333.88716	343
CotColor	ss715580182	phavu.Chr02	510643	7.61705	5.1796E-4	0.0105	14.54572	1.4427E-4	0.69237	0.40554	2	11859.52143	1118	1556.97057	8	64736.29623	420
CotColor	ss715580199	phavu.Chr02	512411	12.49466	4.2993E-6	0.01709	24.4198	8.9283E-7	0.57871	0.44698	2	19294.72223	1118	1544.23765	8	66467.13097	211
CotColor	ss715580685	phavu.Chr02	554257	3.9405	0.01971	0.00547	4.73666	0.02973	3.1353	0.07689	2	6179.12432	1118	1568.10625	8	63108.67527	302
CotColor	ss715580737	phavu.Chr02	566240	0.92152	0.39822	0.00129	1.29368	0.25561	0.54988	0.45852	2	1450.22311	1117	1573.72608	8	62273.30725	423
CotColor	ss715580739	phavu.Chr02	571427	0.81379	0.3672	5.6718E-4	0.81379	0.3672	NaN	NaN	1	1281.97811	1120	1575.31485	7	70843.01719	1
CotColor	ss715580748	phavu.Chr02	595508	6.49639	0.00157	0.00904	9.77164	0.00182	3.20179	0.07383	2	10141.97914	1111	1561.17141	8	63719.50586	324
CotColor	ss715580760	phavu.Chr02	628950	NaN	NaN	0	NaN	NaN	NaN	NaN	0	NaN	1121	1575.05317	6	82436.52371	0
CotColor	ss715580775	phavu.Chr02	683307	4.27549	0.01413	0.00594	8.55464	0.00352	0.00395	0.94988	2	6700.8127	1118	1567.26248	8	63197.23457	60
CotColor	ss715580778	phavu.Chr02	688904	5.80005	0.00312	0.00804	11.57924	6.9056E-4	0.0309	0.8605	2	9061.97731	1116	1562.39755	8	63757.87372	303
CotColor	ss715580782	phavu.Chr02	700521	11.42546	1.2253E-5	0.01573	20.67761	6.0293E-6	2.15192	0.14267	2	17678.12652	1113	1547.25784	8	65786.96796	265
CotColor	ss715580815	phavu.Chr02	801884	0.50239	0.60522	7.008E-4	0.95107	0.32966	0.05451	0.81544	2	791.98881	1119	1576.45275	8	62025.38998	44
CotColor	ss715580817	phavu.Chr02	807882	6.11091	0.00229	0.00852	11.35854	7.7686E-4	0.86466	0.35264	2	9534.82648	1109	1560.29681	8	63588.47639	397
CotColor	ss715580823	phavu.Chr02	823278	0.81678	0.44212	0.00116	0.57087	0.45007	1.06265	0.30284	2	1288.6531	1102	1577.73298	8	60844.98413	511
CotColor	ss715580827	phavu.Chr02	832468	0.29215	0.58895	2.0371E-4	0.29215	0.58895	NaN	NaN	1	460.43961	1120	1576.04836	7	70725.65455	32
CotColor	ss715580833	phavu.Chr02	850106	2.72491	0.09908	0.0019	2.72491	0.09908	NaN	NaN	1	4282.01883	1116	1571.43451	7	71282.14889	42
CotColor	ss715580837	phavu.Chr02	862022	2.9919	0.08396	0.00208	2.9919	0.08396	NaN	NaN	1	4704.04431	1120	1572.25943	7	71331.88379	25
CotColor	ss715580841	phavu.Chr02	875209	7.07908	8.8105E-4	0.00983	12.68114	3.8497E-4	1.47165	0.22534	2	11033.91398	1112	1558.66492	8	64093.25392	344
CotColor	ss715580851	phavu.Chr02	901990	0.16572	0.8473	2.3229E-4	0.09613	0.75658	0.23538	0.62766	2	261.55164	1115	1578.27729	8	61519.75826	503
CotColor	ss715580859	phavu.Chr02	921362	0.60431	0.54663	8.4361E-4	1.10172	0.29412	0.10778	0.74274	2	952.43344	1118	1576.05763	8	61993.86892	156
CotColor	ss715580862	phavu.Chr02	925792	6.69007	0.00982	0.00464	6.69007	0.00982	NaN	NaN	1	10483.99417	1120	1567.09876	7	72157.59092	38
CotColor	ss715580871	phavu.Chr02	955846	9.67055	6.8566E-5	0.0133	14.71629	1.3196E-4	4.57768	0.03261	2	14991.63563	1116	1550.23589	8	65575.28558	454
CotColor	ss715580875	phavu.Chr02	964146	5.1417	0.00599	0.0073	9.95893	0.00164	0.33057	0.56544	2	8048.91106	1093	1565.41794	8	61662.6787	502
CotColor	ss715580881	phavu.Chr02	974080	5.57685	0.00389	0.00774	10.45032	0.00126	0.70613	0.40091	2	8708.8122	1115	1561.60108	8	63779.42728	82
CotColor	ss715580883	phavu.Chr02	979924	1.19894	0.3019	0.00168	1.65433	0.19864	0.74393	0.38859	2	1888.30533	1114	1574.97688	8	61982.70339	125
CotColor	ss715578403	phavu.Chr02	1006995	4.41823	0.01227	0.00615	8.74779	0.00317	0.09576	0.75703	2	6917.32627	1114	1565.63321	8	63356.92939	542
CotColor	ss715578406	phavu.Chr02	1011973	0.17726	0.83758	2.4995E-4	0.32407	0.56929	0.03074	0.86086	2	280.64558	1111	1583.23376	8	60830.85265	418
CotColor	ss715578407	phavu.Chr02	1013994	6.4557	0.00163	0.00892	9.30735	0.00234	3.58252	0.05865	2	10043.42392	1115	1555.74461	8	64646.63495	555
CotColor	ss715578418	phavu.Chr02	1059707	6.31611	0.00187	0.00873	11.85513	5.9635E-4	0.77943	0.37751	2	9833.55315	1115	1556.90086	8	64506.52063	367
CotColor	ss715578431	phavu.Chr02	1097741	7.01403	9.3936E-4	0.0097	13.15509	2.9968E-4	0.87445	0.34993	2	10924.49944	1116	1557.52041	8	64376.14263	264
CotColor	ss715578435	phavu.Chr02	1107228	15.42764	2.4593E-7	0.021	28.99693	8.8334E-8	1.83663	0.17562	2	23658.82014	1116	1533.53489	8	67707.38174	203
CotColor	ss715578454	phavu.Chr02	1234293	19.71419	3.8526E-9	0.02661	39.37412	4.993E-10	0.08641	0.76885	2	30042.03337	1118	1523.87861	8	69333.00536	151
CotColor	ss715578456	phavu.Chr02	1237296	22.55742	2.4885E-10	0.03029	45.05632	3.0366E-11	0.09495	0.75803	2	34206.70702	1118	1516.42839	8	70374.17377	159
CotColor	ss715578459	phavu.Chr02	1247422	0.30258	0.73897	4.2701E-4	5.8866E-4	0.98065	0.60457	0.43701	2	474.78244	1100	1569.10744	8	62214.81004	114
CotColor	ss715578461	phavu.Chr02	1270186	7.2762	0.00709	0.00506	7.2762	0.00709	NaN	NaN	1	11399.7604	1117	1566.71825	7	72061.7064	199
CotColor	ss715578462	phavu.Chr02	1271143	NaN	NaN	0	NaN	NaN	NaN	NaN	0	NaN	1121	1575.05317	6	82436.52371	0
CotColor	ss715578463	phavu.Chr02	1273914	5.72262	0.00337	0.00793	3.53757	0.06025	7.88588	0.00507	2	8949.01003	1117	1563.79571	8	63646.52715	430
CotColor	ss715578465	phavu.Chr02	1276908	29.78129	2.504E-13	0.03948	54.28431	3.3589E-13	5.0805	0.02439	2	44616.11178	1119	1498.12545	8	72981.42073	382
CotColor	ss715578470	phavu.Chr02	1301020	0.213	0.80819	2.985E-4	0.18083	0.67075	0.24529	0.62051	2	336.47221	1116	1579.71742	8	61428.46198	122
CotColor	ss715578472	phavu.Chr02	1302531	1.40879	0.24487	0.00197	1.89858	0.16851	0.91913	0.33791	2	2215.60635	1116	1572.7028	8	62332.37967	117
CotColor	ss715578473	phavu.Chr02	1308879	1.82195	0.16219	0.00254	0.18992	0.66306	3.45357	0.06338	2	2866.04104	1118	1573.05908	8	62487.92613	130
CotColor	ss715578474	phavu.Chr02	1309778	2.72	0.09938	0.00189	2.72	0.09938	NaN	NaN	1	4278.42898	1119	1572.95238	7	71207.10799	119
CotColor	ss715578476	phavu.Chr02	1314722	0.96662	0.38069	0.00136	0.57836	0.44712	1.35471	0.24471	2	1524.92062	1107	1577.57464	8	61085.25328	214
CotColor	ss715578482	phavu.Chr02	1337697	13.07077	3.1329E-4	0.00901	13.07077	3.1329E-4	NaN	NaN	1	20345.0689	1119	1556.53156	7	73746.64765	242
CotColor	ss715578484	phavu.Chr02	1339744	3.32137	0.03646	0.00462	6.58773	0.0104	0.06055	0.80568	2	5204.88726	1116	1567.0922	8	63108.84674	280
CotColor	ss715578485	phavu.Chr02	1344360	9.97922	5.0675E-5	0.01387	19.97264	8.6645E-6	0.00381	0.95081	2	15479.33951	1104	1551.15749	8	64985.57851	270
CotColor	ss715578487	phavu.Chr02	1350243	1.95068	0.14266	0.00272	3.75336	0.05295	0.15084	0.6978	2	3070.41942	1117	1574.02841	8	62342.49019	150
CotColor	ss715578492	phavu.Chr02	1373443	1.23029	0.2926	0.00172	2.34338	0.1261	0.11904	0.73015	2	1937.35828	1118	1574.72041	8	62255.75544	142
CotColor	ss715578494	phavu.Chr02	1379494	1.55294	0.21296	0.00108	1.55294	0.21296	NaN	NaN	1	2446.74336	1119	1575.56032	7	70758.61177	140
CotColor	ss715578497	phavu.Chr02	1384749	0.81797	0.44159	0.00114	0.75449	0.38525	0.88152	0.34799	2	1286.08952	1117	1572.30214	8	62485.62628	151
CotColor	ss715578499	phavu.Chr02	1397232	8.95282	1.389E-4	0.01233	17.30462	3.4282E-5	0.6071	0.43605	2	13895.8125	1116	1552.11616	8	65240.67235	302
CotColor	ss715578503	phavu.Chr02	1402999	1.16045	0.31373	0.00164	2.17862	0.14022	0.14397	0.70444	2	1823.55301	1104	1571.41609	8	61849.96771	117
CotColor	ss715578507	phavu.Chr02	1419229	1.56668	0.2092	0.00223	3.03376	0.08183	0.10208	0.74941	2	2472.15435	1097	1577.9615	8	61005.08689	360
CotColor	ss715578509	phavu.Chr02	1423756	15.71554	1.8592E-7	0.02144	31.44913	2.5804E-8	0.00988	0.92083	2	24122.96069	1114	1534.97457	8	67477.87549	400
CotColor	ss715578520	phavu.Chr02	1475349	1.32828	0.26535	0.00186	0.51561	0.47287	2.14042	0.14374	2	2093.3664	1112	1575.99382	8	61723.36766	164
CotColor	ss715578523	phavu.Chr02	1482285	0.37512	0.68729	5.2338E-4	0.64869	0.42075	0.10207	0.74942	2	591.49047	1119	1576.8111	8	61975.2654	202
CotColor	ss715578525	phavu.Chr02	1483918	0.2768	0.75826	3.8736E-4	0.51283	0.47406	0.04121	0.83917	2	436.71018	1116	1577.69629	8	61758.21338	209
CotColor	ss715578527	phavu.Chr02	1486712	19.74773	3.7287E-9	0.02663	33.78931	8.0012E-9	5.56832	0.01846	2	30097.02613	1119	1524.07556	8	69351.64931	506
CotColor	ss715578529	phavu.Chr02	1490607	0.31696	0.72843	4.4256E-4	0.61513	0.43303	0.01933	0.88946	2	499.28872	1117	1575.2474	8	62101.93199	209
CotColor	ss715578533	phavu.Chr02	1498823	14.01782	9.7129E-7	0.01917	26.61456	2.937E-7	1.41128	0.2351	2	21596.5781	1116	1540.65174	8	66796.40243	559
CotColor	ss715578536	phavu.Chr02	1508766	2.80998	0.06063	0.0039	5.62332	0.01789	0.00165	0.96765	2	4411.61421	1119	1569.98336	8	62930.29633	149
CotColor	ss715578538	phavu.Chr02	1513766	6.00268	0.00255	0.00829	11.56326	6.9639E-4	0.4478	0.50352	2	9370.90419	1119	1561.11957	8	64170.11883	54
CotColor	ss715578540	phavu.Chr02	1516846	18.5012	1.2459E-8	0.02507	31.27106	2.8206E-8	5.60237	0.01811	2	28222.75119	1115	1525.45554	8	68872.83522	284
CotColor	ss715578543	phavu.Chr02	1521991	0.60396	0.54682	8.4234E-4	1.16952	0.27973	0.03941	0.84268	2	951.94561	1119	1576.16686	8	62065.37918	331
CotColor	ss715578545	phavu.Chr02	1528791	1.12518	0.32496	0.00158	0.65009	0.42025	1.59992	0.20618	2	1771.74762	1112	1574.63326	8	61968.91379	81
CotColor	ss715578547	phavu.Chr02	1531899	0.08535	0.91819	1.1919E-4	0.14552	0.70293	0.02531	0.87362	2	134.5863	1118	1576.83105	8	61939.06814	12
CotColor	ss715578550	phavu.Chr02	1533882	10.25392	3.8648E-5	0.01408	20.45532	6.7544E-6	0.06954	0.79206	2	15900.09101	1118	1550.63477	8	65538.66825	548
CotColor	ss715578552	phavu.Chr02	1541093	0.23068	0.79403	3.2564E-4	0.02908	0.86462	0.43229	0.511	2	364.05052	1106	1578.16836	8	61306.98787	180
CotColor	ss715578554	phavu.Chr02	1549921	0.82858	0.43694	0.00116	0.01594	0.89954	1.64121	0.20043	2	1306.89485	1116	1577.2668	8	61833.90964	179
CotColor	ss715578556	phavu.Chr02	1553130	0.64794	0.52332	9.051E-4	6.9293E-4	0.979	1.2952	0.25534	2	1021.08749	1117	1575.88763	8	62004.35154	190
CotColor	ss715578558	phavu.Chr02	1556076	3.00541	0.04992	0.00417	4.71935	0.03003	1.29025	0.25624	2	4716.80723	1119	1569.43788	8	63006.59459	514
CotColor	ss715578563	phavu.Chr02	1580127	2.61598	0.07354	0.00365	4.76706	0.02922	0.46717	0.49443	2	4115.01947	1116	1573.0333	8	62400.68805	115
CotColor	ss715578568	phavu.Chr02	1600224	1.60153	0.20205	0.00223	2.34247	0.12617	0.86088	0.35369	2	2521.85049	1118	1574.64878	8	62194.35681	142
CotColor	ss715578571	phavu.Chr02	1608091	1.41868	0.24247	0.00199	2.59048	0.10779	0.24863	0.61814	2	2233.11453	1113	1574.07542	8	62089.99573	56
CotColor	ss715578574	phavu.Chr02	1616784	1.40606	0.24554	0.00196	2.7729	0.09615	0.04159	0.83844	2	2213.0121	1119	1573.91294	8	62380.64581	55
CotColor	ss715578575	phavu.Chr02	1619075	1.36102	0.25682	0.0019	2.41993	0.12008	0.30363	0.58173	2	2142.73378	1118	1574.35301	8	62307.09932	55
CotColor	ss715578578	phavu.Chr02	1624141	0.42838	0.65167	5.9764E-4	0.81164	0.36783	0.04581	0.83055	2	675.40879	1119	1576.66112	8	61996.24498	1
CotColor	ss715578581	phavu.Chr02	1641539	NaN	NaN	0	NaN	NaN	NaN	NaN	0	NaN	1109	1572.23946	6	81796.55318	0
CotColor	ss715578584	phavu.Chr02	1653600	1.01454	0.3629	0.00142	0.34324	0.55808	1.68563	0.19445	2	1598.42723	1118	1575.52368	8	62065.26997	209
CotColor	ss715578589	phavu.Chr02	1675532	0.62012	0.53806	8.6485E-4	1.18297	0.27699	0.05827	0.8093	2	977.38793	1119	1576.12139	8	62071.73976	61
CotColor	ss715578593	phavu.Chr02	1696769	16.85974	6.1116E-8	0.02289	33.34605	9.9848E-9	0.39155	0.53161	2	25840.95389	1118	1532.70205	8	68084.56443	538
CotColor	ss715578603	phavu.Chr02	1722193	0.83608	0.43368	0.00117	0.45435	0.50041	1.21772	0.27005	2	1317.41409	1117	1575.70202	8	62046.90727	408
CotColor	ss715578610	phavu.Chr02	1745945	6.25455	0.00199	0.00864	10.16903	0.00147	2.32801	0.12735	2	9751.88099	1118	1559.16507	8	64374.9853	557
CotColor	ss715578613	phavu.Chr02	1756948	3.2401	0.03953	0.0045	5.33669	0.02106	1.14282	0.28529	2	5082.64362	1118	1568.66906	8	63026.42146	456
CotColor	ss715578619	phavu.Chr02	1786647	0.44679	0.63979	6.2331E-4	0.81879	0.36573	0.07547	0.78358	2	704.41718	1119	1576.60927	8	62003.49708	53
CotColor	ss715578621	phavu.Chr02	1796956	4.6447	0.0098	0.00649	6.04676	0.01408	3.23051	0.07255	2	7278.16971	1110	1566.98293	8	62836.37373	99
CotColor	ss715578622	phavu.Chr02	1804463	0.62264	0.43024	4.3826E-4	0.62264	0.43024	NaN	NaN	1	979.8691	1108	1573.72853	7	70300.86921	2
CotColor	ss715578636	phavu.Chr02	1866808	1.1477	0.31774	0.0016	2.26983	0.1322	0.02755	0.8682	2	1808.3089	1117	1575.58891	8	62037.15621	295
CotColor	ss715578639	phavu.Chr02	1878694	0.87899	0.41549	0.00123	1.07278	0.30054	0.68549	0.40788	2	1383.81692	1115	1574.33414	8	62080.44553	418
CotColor	ss715578640	phavu.Chr02	1881454	0.23244	0.79264	3.2543E-4	0.00191	0.96512	0.46297	0.49638	2	366.38398	1115	1576.24787	8	61768.46225	203
CotColor	ss715578642	phavu.Chr02	1887609	1.65321	0.19191	0.00233	2.70201	0.1005	0.60536	0.43671	2	2606.02909	1109	1576.34785	8	61547.71473	490
CotColor	ss715578643	phavu.Chr02	1889374	6.81024	0.00115	0.00943	13.46883	2.5401E-4	0.16177	0.68761	2	10636.39604	1116	1561.82316	8	64020.10203	266
CotColor	ss715578647	phavu.Chr02	1902673	0.23081	0.79393	3.2229E-4	0.33474	0.563	0.12715	0.72148	2	363.91932	1118	1576.68582	8	61945.97069	353
CotColor	ss715578648	phavu.Chr02	1905368	1.63409	0.2014	0.00114	1.63409	0.2014	NaN	NaN	1	2572.32501	1120	1574.16275	7	71027.35246	79
CotColor	ss715578656	phavu.Chr02	1936927	0.9257	0.39656	0.0013	1.18707	0.27616	0.66469	0.41508	2	1460.97185	1116	1578.231	8	61662.17702	144
CotColor	ss715578662	phavu.Chr02	1976480	1.88274	0.1703	0.00131	1.88274	0.1703	NaN	NaN	1	2963.07608	1120	1573.81387	7	71083.17405	2
CotColor	ss715578665	phavu.Chr02	1990687	3.04584	0.04795	0.00424	2.34077	0.12631	3.74514	0.05321	2	4772.09678	1115	1566.76	8	63180.5152	73
CotColor	ss715578669	phavu.Chr02	2010584	1.18618	0.30577	0.00165	0.72934	0.39328	1.64261	0.20023	2	1867.68282	1119	1574.53015	8	62294.31348	210
CotColor	ss715578673	phavu.Chr02	2038467	1.65358	0.19183	0.00232	2.61471	0.10616	0.69317	0.40527	2	2603.19258	1113	1574.27775	8	62017.1904	219
CotColor	ss715578674	phavu.Chr02	2039986	NaN	NaN	0	NaN	NaN	NaN	NaN	0	NaN	1121	1575.05317	6	82436.52371	0
CotColor	ss715578675	phavu.Chr02	2042156	1.52064	0.21902	0.00212	1.90131	0.16821	1.13973	0.28594	2	2395.58758	1117	1575.38041	8	62001.51657	208
CotColor	ss715578682	phavu.Chr02	2059401	0.47559	0.62164	6.6369E-4	0.27103	0.60274	0.68023	0.40968	2	749.29709	1118	1575.50342	8	62071.64614	125
CotColor	ss715578683	phavu.Chr02	2065014	3.09976	0.04545	0.00433	5.96441	0.01475	0.23917	0.6249	2	4869.64733	1114	1570.97714	8	62493.7671	528
CotColor	ss715578689	phavu.Chr02	2102513	1.66225	0.19018	0.00233	0.16822	0.68178	3.15595	0.07592	2	2621.84531	1113	1577.29106	8	61633.29865	475
CotColor	ss715578694	phavu.Chr02	2126801	0.95942	0.38344	0.00137	1.13805	0.2863	0.781	0.37703	2	1520.29221	1100	1584.60287	8	59867.7549	338
CotColor	ss715578698	phavu.Chr02	2136619	0.78479	0.45647	0.0011	1.26638	0.26069	0.30399	0.5815	2	1235.49519	1115	1574.29512	8	62063.21145	87
CotColor	ss715578701	phavu.Chr02	2183554	9.36331	9.2793E-5	0.01302	18.29648	2.0533E-5	0.43939	0.50756	2	14573.82871	1109	1556.48187	8	64081.53112	133
CotColor	ss715578703	phavu.Chr02	2187616	2.82041	0.09335	0.00196	2.82041	0.09335	NaN	NaN	1	4433.58879	1119	1571.96515	7	71324.78795	64
CotColor	ss715578706	phavu.Chr02	2194371	0.68517	0.50421	9.5831E-4	0.66192	0.41606	0.7086	0.40009	2	1079.69673	1116	1575.80069	8	61843.09405	307
CotColor	ss715578707	phavu.Chr02	2195303	1.89518	0.15078	0.00267	0.29083	0.58979	3.49886	0.06168	2	2978.90685	1104	1571.83541	8	62002.32802	129
CotColor	ss715578709	phavu.Chr02	2205418	2.56214	0.07759	0.00357	4.73256	0.02981	0.3943	0.53018	2	4017.21367	1113	1567.91151	8	62808.19395	65
CotColor	ss715578711	phavu.Chr02	2211215	2.36106	0.09479	0.00328	4.27048	0.03901	0.45374	0.5007	2	3704.13571	1118	1568.84141	8	62965.14298	165
CotColor	ss715578714	phavu.Chr02	2218064	3.73207	0.02424	0.00518	7.42975	0.00652	0.04076	0.84004	2	5849.70139	1119	1567.41305	8	63289.81813	68
